Round,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Bonus Number,Number of 1st Prize Winner,1st Prize Amount,Number of 2nd Prize Winner,2nd Prize Amount,Number of 3rd Prize Winner,3rd Prize Amount,Draw Date
289,3,14,33,37,38,42,10,0,0,24,63761694,1019,1501748,20190601
290,8,13,18,32,39,45,7,13,2149214424,61,51251650,2297,1361059,20190525
291,3,7,8,18,20,42,45,7,1450585200,39,43393575,1227,1379258,20190518
292,17,18,31,32,33,34,10,14,720373950,37,45428988,1688,995778,20190511
293,1,9,17,21,29,33,24,6,1656764400,21,78893543,1154,1435672,20190504
294,6,10,17,30,37,38,40,4,2406504975,26,61705256,1137,1411027,20190427
295,1,4,12,16,18,38,8,0,0,26,62969875,1013,1616207,20190420
296,3,8,15,27,30,45,44,8,3066088275,53,46243415,2066,1186303,20190413
297,6,11,19,20,28,32,34,2,5056668750,28,60198438,1275,1322005,20190406
298,5,9,27,29,37,40,19,1,9909778500,40,41290744,1353,1220717,20190330
299,1,3,20,25,36,45,24,7,1483772529,29,59691999,1118,1548362,20190323
300,7,9,10,12,26,38,39,12,836092425,34,49181908,1416,1180922,20190316
301,7,11,13,33,37,43,26,7,1447385015,47,35927997,1271,1328573,20190309
302,13,19,20,32,38,42,4,2,5472167250,44,41455813,1134,1608515,20190302
303,2,14,17,30,38,45,43,6,1672749000,29,57681000,1158,1444516,20190223
304,4,10,16,26,33,41,38,6,1661646150,37,44909356,1426,1165250,20190216
305,7,8,18,21,23,39,9,5,2008210140,34,49220837,1377,1215330,20190209
306,4,18,23,30,34,41,19,5,2102669520,23,76183679,1219,1437428,20190202
307,5,15,21,23,25,45,12,4,2587643250,28,61610554,1177,1465672,20190126
308,14,15,17,19,37,45,40,1,10232872800,27,63165882,978,1743844,20190119
309,1,2,5,11,18,36,22,11,901622946,25,66119016,1390,1189191,20190112
310,1,5,19,28,34,41,16,8,1296713325,29,59619004,1086,1592036,20190105
311,4,12,24,27,28,32,10,8,1237691063,43,38378018,1363,1210752,20181229
312,2,3,5,6,12,20,25,15,629017820,58,27112838,2064,761892,20181222
313,9,17,34,35,43,45,2,6,1715422800,26,65977800,1120,1531628,20181215
314,15,17,19,34,38,41,2,6,1660512200,24,69188009,1067,1556244,20181208
315,1,13,33,35,43,45,23,8,1308728625,32,54530360,1063,1641554,20181201
316,10,11,21,27,31,39,43,6,1673586400,29,57709876,1398,1197130,20181124
317,3,10,11,22,36,39,8,4,2576258550,25,68700228,1132,1517232,20181117
318,2,17,19,20,34,45,21,9,1207436600,28,64684104,1381,1311481,20181110
319,5,8,22,28,33,42,37,5,2135659380,26,68450622,1151,1546235,20181103
320,16,19,23,25,41,45,3,2,5513067900,25,73507572,1081,1699991,20181027
321,12,18,20,21,25,34,42,6,1959136100,35,55975318,1276,1535374,20181020
322,9,18,29,32,38,43,20,6,1904544700,29,65673956,1465,1300031,20181013
323,10,14,15,32,36,42,3,8,1461025388,27,72149402,1175,1657902,20181006
324,2,4,21,25,33,36,17,6,1865130350,40,46628259,1228,1518836,20180929
325,7,17,20,32,44,45,33,6,1806122450,33,54730984,1258,1435710,20180922
326,16,23,25,33,36,39,40,6,1832134550,31,59101115,1335,1372386,20180915
327,6,12,13,17,32,44,24,12,882674750,39,45265372,1242,1421377,20180908
328,1,6,9,16,17,28,24,6,1819795900,30,60659864,1380,1318693,20180901
329,9,17,19,30,35,42,4,6,1830391200,33,55466400,1215,1506495,20180825
330,3,4,16,17,19,20,23,9,1162280200,32,54481885,1431,1218324,20180818
331,4,9,14,26,31,44,39,5,2165902620,45,40109308,1365,1322285,20180811
332,16,17,34,36,42,45,3,8,1359448388,37,48989132,1098,1650818,20180804
333,5,14,27,30,39,43,35,7,1550987143,36,50263473,1365,1325631,20180728
334,13,15,21,29,39,43,33,7,1523002972,31,57317317,1055,1684206,20180721
335,5,9,16,23,26,45,21,5,2037492480,28,60639658,1222,1389453,20180714
336,3,5,20,34,35,44,16,6,1685632650,30,56187755,989,1704381,20180707
337,1,5,14,18,32,37,4,8,1257500513,33,50808102,1194,1404245,20180630
338,2,13,34,38,42,45,16,3,3383431000,39,43377321,1123,1506426,20180623
339,6,8,14,21,30,37,45,9,1096778334,32,51411485,1107,1486150,20180616
340,18,24,26,29,34,38,32,7,1439393186,35,47979773,1125,1492705,20180609
341,1,8,19,34,39,43,41,7,1497207772,33,52931588,1235,1414367,20180602
342,1,13,14,33,34,43,25,3,3454095800,29,59553376,1177,1467331,20180526
343,1,10,17,29,31,43,15,6,1717153000,29,59212173,1096,1566746,20180519
344,1,2,15,28,34,45,38,7,1467106543,23,74418448,1106,1547581,20180512
345,15,20,23,29,39,42,2,2,5203577550,38,45645418,1028,1687282,20180505
346,5,13,14,22,44,45,33,5,2017727340,26,64670749,1146,1467225,20180428
347,3,8,13,27,32,42,10,7,1456624286,38,44720922,1399,1214722,20180421
348,3,14,17,20,24,31,34,3,3299994000,37,44594514,1222,1350244,20180414
349,5,13,14,20,24,25,36,3,3353209000,37,45313636,1168,1435450,20180407
350,1,8,18,24,29,33,35,9,1101052467,23,71807770,1197,1379765,20180331
351,5,25,27,29,34,36,33,4,2583357150,29,59387521,1137,1514722,20180324
352,5,16,17,20,26,41,24,6,1732858250,29,59753733,1166,1486157,20180317
353,11,16,19,22,29,36,26,2,5290838250,29,60814233,1042,1692527,20180310
354,14,19,36,43,44,45,1,5,2124464340,34,52070205,1014,1745944,20180303
355,5,8,29,30,35,44,38,5,2145424800,24,74493917,1094,1634236,20180224
356,2,8,14,25,29,45,24,9,1157185267,37,46912917,1263,1374330,20180217
357,10,14,18,21,36,37,5,2,5313394350,27,65597462,1116,1587036,20180210
358,1,9,10,12,21,40,37,3,3472654900,44,39461988,1382,1256388,20180203
359,1,10,19,20,24,40,23,8,1286712600,37,46368022,1656,1036001,20180127
360,4,16,23,25,35,40,27,3,3566716200,33,54041155,1208,1476290,20180120
361,5,10,16,24,27,35,33,7,1473115115,34,50548068,1463,1174733,20180113
362,2,3,22,27,30,40,29,6,1729424650,26,66516333,1173,1474361,20180106
363,11,12,14,21,32,38,6,4,2615910600,33,52846679,1216,1434162,20171230
364,2,5,7,14,16,40,4,4,2531914800,37,45620087,1259,1340702,20171223
365,5,15,21,25,26,30,31,1,10697716800,35,50941509,1181,1509698,20171216
366,5,12,19,26,27,44,38,2,5351553900,39,45739777,1617,1103186,20171209
367,3,22,25,29,32,44,19,7,1581736586,37,49874578,1049,1759161,20171202
368,11,21,24,30,39,45,26,7,1465825115,38,45003403,1195,1431071,20171125
369,17,20,35,36,41,43,21,6,1842177750,31,59425089,1157,1592203,20171118
370,16,18,24,42,44,45,17,7,1678941943,32,61211425,1168,1677026,20171111
371,7,9,15,26,27,42,18,7,1524130543,29,61315597,1201,1480560,20171104
372,8,11,14,16,18,21,13,9,1192593200,37,48348373,1368,1307668,20171028
373,15,26,37,42,43,45,9,4,2791801125,29,64179337,1117,1666250,20171021
374,11,13,15,17,25,34,26,2,5528717850,27,68255776,1398,1318245,20171014
375,4,8,19,25,27,45,7,7,1581284058,42,43924558,1279,1442402,20171007
376,1,11,13,24,28,40,7,6,1956915800,51,38370899,1411,1386900,20170930
377,6,22,29,37,43,45,23,3,3912085400,22,88911032,1198,1632757,20170923
378,5,22,29,31,34,39,43,5,2317698240,30,64380507,1124,1718341,20170916
379,6,10,22,31,35,40,19,7,1598999786,71,26274645,1342,1390090,20170909
380,1,2,8,17,26,37,27,4,2684274825,42,42607537,1464,1222348,20170902
381,1,5,10,12,16,20,11,19,565738895,62,28895267,1981,904345,20170826
382,10,15,22,24,27,42,19,6,1846674900,32,57708591,1212,1523660,20170819
383,4,15,28,33,37,40,25,3,3596522100,28,64223609,1251,1437459,20170812
384,11,22,24,32,36,38,7,3,3658734200,41,44618710,1215,1505652,20170805
385,7,12,19,21,29,32,9,7,1542032700,36,49973282,1235,1456712,20170729
386,4,7,10,19,31,40,26,10,1042953330,59,29461959,1683,1032832,20170722
387,1,26,31,34,40,43,20,4,2675533500,26,68603424,1177,1515454,20170715
388,1,8,9,17,29,32,45,4,2545543875,30,56567642,1269,1337297,20170708
389,7,16,18,20,23,26,3,5,2119027020,36,49051552,1253,1409303,20170701
390,16,17,28,37,39,40,15,1,10373997900,37,46729721,1087,1590617,20170624
391,10,11,18,22,28,39,30,1,10508749800,32,54733072,1337,1309992,20170617
392,1,3,7,8,24,42,43,6,1713528700,30,57117624,1504,1139315,20170610
393,9,16,28,40,41,43,21,8,1362003975,35,51885866,1072,1694035,20170603
394,1,13,20,22,25,28,15,1,10654349100,33,53809844,1204,1474855,20170527
395,11,15,20,26,31,35,7,7,1534635000,42,42628750,1420,1260851,20170520
396,18,20,31,34,40,45,30,2,5296622400,34,51927671,1202,1468836,20170513
397,12,13,17,22,25,33,8,3,3499519700,31,56443867,1366,1280937,20170506
398,10,15,20,23,42,44,7,4,2680625550,31,57647862,1112,1607090,20170429
399,1,2,9,17,19,42,20,8,1276854975,40,42561833,1462,1164483,20170422
400,9,21,27,34,41,43,2,4,2669834325,30,59329652,1254,1419370,20170415
401,6,12,18,31,38,43,9,9,1168214792,29,60424904,1355,1293227,20170408
402,5,9,15,19,22,36,32,4,2662206188,41,43287906,1271,1396385,20170401
403,10,14,22,24,28,37,26,5,2122396875,43,41131723,1321,1338883,20170325
404,5,20,21,24,33,40,36,3,3566659375,26,68589604,1273,1400888,20170318
405,1,2,10,25,26,44,4,3,3543878000,35,50626829,1283,1381091,20170311
406,7,12,21,24,27,36,45,5,2156142450,33,54448042,1442,1246038,20170304
407,6,7,13,16,24,25,1,7,1649707286,27,71283649,1268,1517870,20170225
408,9,20,21,22,30,37,16,5,2235375825,33,56448885,1244,1497439,20170218
409,6,9,21,31,32,40,38,4,2896989750,36,53647959,1320,1463127,20170211
410,1,3,18,32,40,41,16,9,1249335709,37,50648745,1303,1438223,20170204
411,11,14,22,35,37,39,5,12,953227563,36,52957087,1318,1446476,20170128
412,4,7,39,41,42,45,40,7,1656199822,34,56830387,1223,1579913,20170121
413,2,9,15,23,34,40,3,4,2814673500,36,52123584,1256,1493989,20170114
414,2,14,15,22,23,44,43,1,11703832500,35,55732536,1220,1598885,20170107
415,7,17,20,26,30,40,24,8,1334182407,35,50825997,1587,1120927,20161231
416,5,6,8,11,22,26,44,10,1072037100,32,55835266,1501,1190359,20161224
417,4,5,14,20,22,43,44,4,2818329938,34,55261372,1181,1590929,20161217
418,11,13,15,26,28,34,31,8,1435649766,46,41613037,1316,1454560,20161210
419,2,11,13,14,28,30,7,3,3796490750,33,57522588,1194,1589821,20161203
420,4,9,10,29,31,34,27,8,1424856375,35,54280243,1187,1600513,20161126
421,6,11,26,27,28,44,30,5,2321144325,36,53730193,1203,1607887,20161119
422,8,15,19,21,34,44,12,6,2205251375,21,105011971,1293,1705531,20161112
423,1,17,27,28,29,40,5,3,3896153875,47,41448446,1432,1360389,20161105
424,10,11,26,31,34,44,30,10,1109480813,51,36257543,1686,1096759,20161029
425,8,10,14,27,33,38,3,8,1534833000,41,49913269,1297,1577829,20161022
426,4,17,18,27,39,43,19,4,3057233625,63,32351679,1463,1393135,20161015
427,6,7,15,24,28,30,21,1,12571445625,33,63492150,1415,1480736,20161008
428,12,16,19,22,37,40,8,9,1437683209,30,71884161,1568,1375335,20161001
429,3,23,28,34,39,42,16,9,1485904709,37,60239381,1389,1604649,20160924
430,1,3,16,18,30,34,44,8,1611763219,45,47755948,1449,1483104,20160917
431,18,22,25,31,38,45,6,10,1268434013,43,49164110,1337,1581195,20160910
432,2,3,5,11,27,39,33,5,2299427550,48,39920618,1747,1096846,20160903
433,19,23,29,33,35,43,27,11,1182294410,41,52866824,1278,1696041,20160827
434,3,13,20,24,33,37,35,8,1480060266,37,53335506,1867,1056998,20160820
435,8,16,26,30,38,45,42,10,1287550013,31,69223119,1426,1504851,20160813
436,9,14,20,22,33,34,28,8,1512266579,44,45826260,1425,1414987,20160806
437,11,16,29,38,41,44,21,6,2096245438,33,63522590,1286,1630051,20160730
438,6,12,20,26,29,38,45,9,1377142167,41,50383250,1303,1585352,20160723
439,17,20,30,31,37,40,25,6,1900077375,33,57578103,1437,1322253,20160716
440,10,22,28,34,36,44,2,6,1995873000,41,48679830,1495,1335033,20160709
441,1,23,28,30,34,35,9,4,3170417063,42,50324081,1127,1875432,20160702
442,25,27,29,36,38,40,41,9,1413413042,27,78522947,1271,1668073,20160625
443,4,6,10,19,20,44,14,9,1327597584,41,48570644,1668,1193883,20160618
444,11,13,23,35,43,45,17,3,4154188625,26,79888243,1270,1635508,20160611
445,13,20,21,30,39,45,32,7,1791683036,28,74653460,1183,1766946,20160604
446,1,11,12,14,26,35,6,3,4051247625,41,49405459,1375,1473181,20160528
447,2,7,8,9,17,33,34,4,2657941125,31,57160025,1721,1029612,20160521
448,3,7,13,27,40,41,36,3,4026212750,35,57517325,1422,1415687,20160514
449,3,10,20,26,35,43,36,3,4059715250,39,52047632,1295,1567458,20160507
450,6,14,19,21,23,31,13,6,1990391625,34,58540931,1349,1475458,20160430
451,12,15,20,24,30,38,29,13,882138952,31,61654873,1612,1185671,20160423
452,8,10,18,30,32,34,27,9,1276902000,48,39903188,1298,1475619,20160416
453,12,24,33,38,40,42,30,5,2262732375,36,52378065,1412,1335419,20160409
454,13,25,27,34,38,41,10,7,1609125590,43,43658447,1397,1343818,20160402
455,4,19,20,26,30,35,24,7,1635711483,32,59635315,1448,1317908,20160326
456,1,7,12,18,23,27,44,7,1598505054,39,47818528,1616,1154037,20160319
457,8,10,18,23,27,40,33,10,1159902825,47,41131306,1506,1283647,20160312
458,4,9,10,32,36,40,18,8,1608812625,52,41251606,1433,1496918,20160305
459,4,6,10,14,25,40,12,7,1655842233,46,41995999,1532,1260977,20160227
460,8,11,28,30,43,45,41,4,3180895782,30,70686573,1307,1622493,20160220
461,11,18,26,31,37,40,43,6,1948674875,32,60896090,1717,1134931,20160213
462,3,20,24,32,37,45,4,8,1483559297,39,50719976,1394,1418996,20160206
463,23,29,31,33,34,44,40,0,0,37,54687384,1254,1613584,20160130
464,6,12,15,34,42,44,4,13,3355721106,78,67273025,3145,1668457,20160123
465,1,8,11,13,22,38,31,7,1923662893,46,48788552,1733,1295023,20160116
466,4,10,13,23,32,44,20,9,1530313459,55,41735822,1746,1314703,20160109
467,2,12,14,17,24,40,39,9,1435441084,33,65247322,1811,1188936,20160102
468,8,13,15,28,37,43,17,9,1527197167,33,69418054,1457,1572269,20151226
469,4,21,22,34,37,38,33,4,3330131250,33,67275379,1277,1738519,20151219
470,10,16,20,39,41,42,27,3,4333330625,27,80246864,1390,1558753,20151212
471,6,13,29,37,39,41,43,7,1939332858,30,75418500,1219,1856075,20151205
472,16,25,26,31,36,43,44,7,1809656090,23,91794150,1352,1561587,20151128
473,8,13,20,22,23,36,34,4,3250418063,36,60192928,1313,1650378,20151121
474,4,13,18,31,33,45,43,15,936690800,48,48785980,1738,1347369,20151114
475,1,9,14,16,21,29,3,8,1693923047,33,68441336,1486,1519896,20151107
476,9,12,13,15,37,38,27,4,3439851469,34,67448069,1294,1772206,20151031
477,14,25,29,32,33,45,37,8,1919011829,33,77535832,1474,1735877,20151024
478,18,29,30,37,39,43,8,14,987224759,35,65814984,1285,1792627,20151017
479,8,23,25,27,35,44,24,6,2233046500,34,65677839,1389,1607665,20151010
480,3,5,10,17,30,31,16,4,2996742282,50,39956564,1983,1007478,20151003
481,3,4,23,29,40,41,20,3,4639355750,34,68225820,1294,1792642,20150926
482,1,10,16,24,25,35,43,7,1897921179,30,73808046,1639,1350971,20150919
483,12,15,19,22,28,34,5,5,2567196675,53,40364728,1886,1134322,20150912
484,1,3,27,28,32,45,11,6,2305303063,32,72040721,1343,1716533,20150905
485,17,22,26,27,36,39,20,9,1501474917,33,68248860,1406,1601859,20150829
486,1,2,23,25,38,40,43,13,1008634125,29,75357722,1501,1455946,20150822
487,4,8,25,27,37,41,21,8,1638830766,46,47502342,1587,1376880,20150815
488,2,8,17,30,31,38,25,10,1330393575,33,67191595,1345,1648567,20150808
489,2,4,8,15,20,27,11,6,2106360625,52,40506936,1538,1369546,20150801
490,2,7,26,29,40,43,42,7,1860234161,29,74837007,1357,1599318,20150725
491,8,17,35,36,39,42,4,4,3304634438,31,71067408,1360,1619919,20150718
492,22,27,31,35,37,40,42,5,2493013800,40,51937788,1434,1448753,20150711
493,20,22,26,33,36,37,25,9,1451120334,27,80617797,1342,1621968,20150704
494,5,7,8,15,30,43,22,12,1054588407,40,52729421,1539,1370486,20150627
495,4,13,22,27,34,44,6,6,2111645000,44,47991932,1568,1346713,20150620
496,4,13,20,29,36,41,39,4,3285932250,46,47622207,1389,1577122,20150613
497,19,20,23,24,43,44,13,6,2222817813,30,74093928,1148,1936253,20150606
498,13,14,24,32,39,41,3,4,3244503094,35,61800059,1334,1621441,20150530
499,5,20,23,27,35,40,43,3,4070480250,46,44244351,1514,1344281,20150523
500,3,4,12,20,24,34,41,9,1351072375,68,29803068,1831,1106832,20150516
501,1,4,10,17,31,42,2,4,3025200094,61,33062297,1639,1230507,20150509
502,6,22,28,32,34,40,26,6,2201458125,31,71014779,1482,1485465,20150502
503,1,5,27,30,34,36,40,7,1853634911,42,51489859,1292,1673819,20150425
504,6,14,22,26,43,44,31,9,1443236959,29,74650188,1294,1672995,20150418
505,7,20,22,25,38,40,44,6,1917955188,38,50472505,1440,1331914,20150411
506,6,9,11,22,24,30,31,3,4073333875,33,61717180,1588,1282536,20150404
507,12,13,32,33,40,41,4,9,1416438875,29,73264080,1473,1442403,20150328
508,5,27,31,34,35,43,37,8,1599557860,31,68798188,1596,1336306,20150321
509,12,25,29,35,42,43,24,5,2689076100,34,65908728,1228,1824835,20150314
510,12,29,32,33,39,40,42,5,2644158150,25,88138605,1319,1670558,20150307
511,3,7,14,23,26,42,24,6,2165579250,37,58529169,1524,1420984,20150228
512,4,5,9,13,26,27,1,13,940094452,52,39170603,1682,1210982,20150221
513,5,8,21,23,27,33,12,3,4589624750,54,42496526,1626,1411324,20150214
514,1,15,20,26,35,42,9,3,4451055500,36,61820216,1362,1634015,20150207
515,2,11,12,15,23,37,8,1,13200466875,35,62859367,1450,1517296,20150131
516,2,8,23,41,43,44,30,11,1294190182,32,74146313,1338,1773305,20150124
517,1,9,12,28,36,41,10,5,2659057725,40,55397036,1493,1484181,20150117
518,14,23,30,32,34,38,6,6,2263804125,34,66582475,1349,1678135,20150110
519,6,8,13,16,30,43,3,7,1950601393,32,71115676,1357,1677010,20150103
520,4,22,27,28,38,40,1,6,2167205438,37,58573120,1627,1332026,20141227
521,3,7,18,29,32,36,19,8,1693420922,53,42601785,1612,1400679,20141220
522,4,5,13,14,37,41,11,6,2281623000,39,58503154,1495,1526170,20141213
523,1,4,37,38,40,45,7,7,1780355840,43,48304229,1557,1334029,20141206
524,10,11,29,38,41,45,21,4,3491695594,36,64661030,1338,1739759,20141129
525,11,23,26,29,39,44,22,9,1501132375,41,54919478,1543,1459300,20141122
526,7,14,17,20,35,39,31,9,1491031959,49,45643836,1539,1453248,20141115
527,1,12,22,32,33,42,38,13,1032386366,29,77132315,1967,1137183,20141108
528,5,17,25,31,39,40,10,11,1197889125,86,25536397,1811,1212662,20141101
529,18,20,24,27,31,42,39,8,1749114797,33,70671305,1502,1552699,20141025
530,16,23,27,29,33,41,22,11,1231656239,40,56450911,1449,1558342,20141018
531,1,5,9,21,27,35,45,9,1521519750,42,54339992,1618,1410557,20141011
532,16,17,23,24,29,44,3,7,2216896286,26,99476116,1480,1747554,20141004
533,9,14,15,17,31,33,23,8,1785671579,44,54111260,1517,1569477,20140927
534,10,24,26,29,37,38,32,1,14215763250,55,43078071,1537,1541506,20140920
535,11,12,14,15,18,39,34,3,4935603000,31,79606500,1512,1632144,20140913
536,7,8,18,32,37,43,12,11,1308523603,40,59973999,1676,1431361,20140906
537,12,23,26,30,36,43,11,7,2104038911,35,70134631,1444,1699940,20140830
538,6,10,18,31,32,34,11,3,4688021625,48,48833559,1724,1359636,20140823
539,3,19,22,31,42,43,26,9,1621036667,42,57894167,1519,1600761,20140816
540,3,12,13,15,34,36,14,7,1989365250,26,89266390,1409,1647216,20140809
541,8,13,26,28,32,34,43,11,1269327171,40,58177496,1444,1611565,20140802
542,5,6,19,26,41,45,34,6,2335152563,26,89813561,1456,1603814,20140726
543,13,18,26,31,34,44,12,12,1112934844,47,47358930,1968,1131032,20140719
544,5,17,21,25,36,44,10,13,1046388433,47,48237765,1527,1484725,20140712
545,4,24,25,27,34,35,2,11,1198994353,42,52337056,1497,1468375,20140705
546,8,17,20,27,37,43,6,30,405939950,55,36903632,3110,652637,20140628
547,6,7,15,22,34,39,28,5,2838444450,54,43803156,1548,1528018,20140621
548,1,12,13,21,32,45,14,8,1736871891,46,50344113,1646,1406944,20140614
549,29,31,35,38,40,44,17,8,1760805047,35,67078288,1487,1578844,20140607
550,1,7,14,20,34,37,41,11,1118679205,58,35360550,2728,751801,20140531
551,3,6,20,24,27,44,25,1,13526973750,32,70452989,1440,1565622,20140524
552,1,10,20,32,35,40,43,10,1330824225,45,49289787,1808,1226793,20140517
553,2,7,17,28,29,39,37,6,2249631438,52,43262144,1647,1365897,20140510
554,13,14,17,32,41,42,6,2,6813893625,41,55397510,1484,1530525,20140503
555,11,17,21,24,26,36,12,8,1711027360,46,49594996,1554,1468063,20140426
556,12,20,23,28,30,44,43,7,2005209161,41,57058798,1411,1657981,20140419
557,4,20,26,28,35,40,31,7,1888069286,43,51226687,1503,1465568,20140412
558,12,15,19,26,40,43,29,10,1315913663,51,43003715,1408,1557663,20140405
559,11,12,25,32,44,45,23,7,1926145608,42,53504045,1566,1434975,20140329
560,1,4,20,23,29,45,28,7,1976697215,40,57653669,1476,1562431,20140322
561,5,7,18,37,42,45,20,5,2753712225,41,55969761,1434,1600252,20140315
562,4,11,13,17,20,31,33,11,1166694614,51,41940003,1789,1195607,20140308
563,5,10,16,17,31,32,21,7,1932735643,38,59338375,1642,1373239,20140301
564,14,19,25,26,27,34,2,7,1934801143,32,70539625,1649,1368871,20140222
565,4,10,18,27,40,45,38,8,1742064469,39,59557760,1866,1244777,20140215
566,4,5,6,25,26,43,41,4,3508951032,35,66837163,1555,1504374,20140208
567,1,10,15,16,32,41,28,6,2318659438,53,43748292,1547,1498811,20140201
568,1,3,17,20,31,44,40,10,1305167550,50,43505585,1845,1179014,20140125
569,3,6,13,23,24,35,1,4,3467925188,36,64220837,1706,1355188,20140118
570,1,12,26,27,29,33,42,9,1527791625,38,60307565,1573,1456890,20140111
571,11,18,21,26,38,43,29,7,1966538465,33,69524088,1506,1523437,20140104
572,3,13,18,33,37,45,1,8,1668216188,53,41967703,1734,1282750,20131228
573,2,4,20,34,35,43,14,8,1645691766,50,43885114,1622,1352809,20131221
574,14,15,16,19,25,43,2,2,6965184938,33,70355404,1259,1844106,20131214
575,2,8,20,30,33,34,6,8,1699267875,45,50348678,1488,1522642,20131207
576,10,11,15,25,35,41,13,3,4321966000,54,40018204,1561,1384359,20131130
